Method,Entropy,AG,VIF,Variance,SF,CC,QCV
DenseFuse,7.0,7.0,5.0,7.0,7.0,1.0,3.0
PIAFusion,6.0,4.0,1.0,4.0,4.0,6.0,8.0
PSFusion,2.0,2.0,3.0,2.0,2.0,3.0,5.0
RFN-Nest,4.0,8.0,7.0,6.0,8.0,2.0,1.0
SDNet,8.0,6.0,8.0,8.0,6.0,8.0,4.0
SeAFusion,3.0,3.0,4.0,3.0,3.0,4.0,7.0
SwinFusion,5.0,5.0,2.0,5.0,5.0,5.0,6.0
our,1.0,1.0,6.0,1.0,1.0,7.0,2.0
