Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
SDNet,1.jpg,7.012400996238823,4.066395003296872,0.5954160021722326,38.95951673013049,14.340555608401306,0.7729750930549626,0.3969065489746404
SDNet,2.jpg,6.970599044587521,3.3605087038555053,0.5847070814677086,36.2671415182646,11.88821796120011,0.7152030534348846,0.3458423389889719
SDNet,3.jpg,6.8198136562936,5.967948098533874,0.5707547972736522,37.62276300677028,20.23772904201183,0.7496608957798905,0.6634876623254377
SDNet,4.jpg,7.034717269490423,4.12246772094158,0.6137909054818315,38.67070380789764,13.694925035848861,0.742849173940627,0.4359487528193714
SDNet,5.jpg,6.992126982577667,3.726986962236228,0.58095311932367,38.14961232626255,13.127078186003072,0.7721730921892329,0.3016088096430218
SDNet,6.jpg,6.665392433616643,1.9344939426201375,0.6242217911987626,29.108853052235393,7.423978452145958,0.6162164857515751,1.1083928828474252
SDNet,7.jpg,6.630299391130284,1.906994803708417,0.629752354500416,28.056722046302678,7.2006099964118775,0.5868226541797741,1.364410644949789
SDNet,8.jpg,6.663163229665512,1.9513207161266257,0.6039113846557819,28.79808176695522,7.37051330620074,0.6146560008500848,1.6722097437441217
SDNet,9.jpg,6.677370194486918,1.9412406513638143,0.614237987806825,29.33121223081754,7.397986752105668,0.6055233994065806,1.2268288421413607
SDNet,10.jpg,6.659731293685741,1.9074194687729442,0.6230840289346408,28.779590573186596,7.22127883249659,0.5925897907214599,1.5409516720390477
SDNet,11.jpg,6.614111531295122,2.05036527754233,0.5796965284132298,27.7342152385774,6.419238599205274,0.7048325275492848,0.20692697766155893
SDNet,12.jpg,6.570419258845232,1.8572736573611497,0.5252061586810952,31.687285616885852,5.576440819953733,0.5128925846982587,0.11554283284000945
SDNet,13.jpg,6.505750526163394,2.027513557000947,0.5094788230649148,28.940499361487213,7.562088164537025,0.7187855742749961,0.43462734020418636
SDNet,14.jpg,6.580002923967514,7.875593053049404,0.547842985557222,38.36012172923765,28.425026035467265,0.8433624718882825,0.7482419706759124
SDNet,15.jpg,7.014745190498138,5.826820176653698,0.5554057364014492,42.82522734980286,19.939027919161955,0.8359818833947879,1.2982425506916486
SDNet,16.jpg,7.098304451340963,4.027547724839458,0.6288040352907125,39.066030600021136,13.634498126607813,0.760553726093983,0.45101978775284
SDNet,17.jpg,6.747242349191594,3.1868026292578002,0.5896711162218906,30.91013575516562,11.759917978279667,0.6814161650842603,1.194518929780977
SDNet,18.jpg,6.582939078541958,3.1548051180817525,0.6657614075695927,28.86602657750864,9.97750360305549,0.5487190400287911,0.5514280345151971
SDNet,19.jpg,6.52942175202656,1.7956707202663738,0.5322069082677675,29.59258644222113,5.485509232375704,0.7001640408176453,0.10377862096794806
SDNet,20.jpg,6.483401494479533,2.1963266637825796,0.6388992042491736,25.606303716044472,8.995816606916797,0.544325459895243,3.580415472305398
SDNet,21.jpg,4.7595864645262695,1.3103107186970915,0.5485468676289466,18.968467187854685,5.347031442309584,0.6854345027307269,0.054903246313163664
SDNet,22.jpg,6.169661332942476,2.126238760071279,0.5657093559732935,25.142981996160263,7.953007471829032,0.7266739010421381,0.2523916759704505
SDNet,23.jpg,5.483956145334238,1.3639174187265841,0.5614869768033168,19.136351716771404,5.113966011970806,0.7279431409965695,1.1335125831080173
SDNet,24.jpg,6.042367511680761,1.6763023378274429,0.6112480665062495,25.554358985265765,6.055507971670093,0.7073693979468771,0.19397085899196204
SDNet,25.jpg,6.233961332196083,1.4378734556037038,0.6075444970221127,24.111746693903243,5.127970096938319,0.6825988301121095,0.6739581944234367
SDNet,26.jpg,6.194811517867147,1.625955173275112,0.607152032159029,26.733324053215995,5.841711626053626,0.727469649235339,0.11830615417263196
SDNet,27.jpg,6.069319591814536,1.5916189699371621,0.5813307603760687,23.81635785830033,6.182754759620658,0.7873964567502402,0.21250679131974892
SDNet,28.jpg,5.994135245869691,1.4079683239689862,0.5984012810509889,23.011423623669653,5.034439511455188,0.7257083812046251,0.09954739872691423
SDNet,29.jpg,4.790072105076826,1.6305268524553707,0.542114646948102,22.19180417898892,7.418193310857424,0.7106286834030531,0.27127396477804255
SDNet,30.jpg,5.516316202427952,1.6116970043734913,0.5589554584915717,22.567232084391552,6.7325587702705,0.6734464668257921,0.46928772776383776
SDNet,31.jpg,6.060809718117109,1.4157104566216312,0.6274807709020905,24.047116019792917,5.269653297210146,0.6960709783048353,0.097797199779332
SDNet,32.jpg,5.888356714177616,1.4198639610316448,0.5851081580350002,23.125223290347876,4.908086066660824,0.7535055603801306,0.08016444939526723
SDNet,33.jpg,6.2286163039430695,2.0263178392227057,0.5602855434293254,32.838415778620124,8.61482864797083,0.8084958433750278,0.9331834193924315
SDNet,34.jpg,6.184160729906846,1.3349478334476155,0.6225591527524551,23.57999139994214,5.173673947990038,0.7342017672631962,0.3718406513293337
SDNet,35.jpg,5.932379919224458,1.2574171106908951,0.5904759854522816,21.451086783863254,4.59100770868815,0.7925324417798216,0.11112948438700244
SDNet,36.jpg,5.511698208049457,1.3940560339424026,0.5565783685720296,19.012150279177227,5.34800505000874,0.7845695396212424,0.09635401979766889
SDNet,37.jpg,6.187373499197117,1.6004698574428506,0.6077532988188911,23.609616379257574,5.835100776605283,0.7001955702934963,0.24179662734368496
SDNet,38.jpg,5.7067077949740295,1.7859538052214095,0.5789074017536698,23.998653894215202,7.1832398292957915,0.6948890246732844,1.561234067062142
SDNet,39.jpg,5.884789647305523,1.662410648474698,0.5734000487807864,22.58062542587218,6.649195175440111,0.7309249288689406,0.503720558781706
SDNet,40.jpg,5.534585881390367,1.4014416284786542,0.5717537034685112,22.104842049001252,5.395160302166354,0.7334123065976995,0.107493089805869
SDNet,Average,6.280640472853618,2.3991373209700555,0.5867648682864323,28.12285997810966,8.686325800834956,0.7050792621109937,0.6331425644627876
SDNet,StdDev,0.5770771032970716,1.4685650128131018,0.03401954604841355,6.37552146954543,5.00458779406437,0.07725062174622827,0.679343207671
