Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
SwinFusion,1.jpg,7.1603534206721955,5.239711242974889,0.533613977575167,45.47393010532318,14.359919474756609,0.3739862847694763,3.2015542354029543
SwinFusion,2.jpg,7.120065507764411,5.805429438233035,0.49101659345160087,40.50172516459022,14.305154399709325,0.4468336964096936,7.879813539702662
SwinFusion,3.jpg,6.755159781771057,3.5942203362364773,0.5212471787471705,32.19268026089353,8.867976559303415,0.4981249953914767,3.0537123106822834
SwinFusion,4.jpg,7.300322105019628,5.68402240541009,0.8070254397091233,50.6900403123838,14.412874208642206,0.5859368193515303,3.29561084094837
SwinFusion,5.jpg,7.314044751230886,4.558387260355173,0.6549162832688169,56.163382698349835,11.171861295862662,0.744747322196379,1.1587955186863028
SwinFusion,6.jpg,7.035926111492276,3.436489130475403,0.6772137158729905,49.0867237086057,8.5069259835485,0.8174745907348571,4.797580521012355
SwinFusion,7.jpg,7.305385076832824,4.854920016735027,0.6132191160501624,51.699803695914156,12.971558199149152,0.8597863837616913,16.947090762785106
SwinFusion,8.jpg,7.372157621090157,4.641780743311031,0.6389261538193507,46.47017876349186,12.384460377858515,0.773607313103291,65.87396880182246
SwinFusion,9.jpg,7.137237223968461,3.4341125201105007,0.6128844577021553,47.837040161578024,9.821282123095935,0.8007233159747964,5.859595147232405
SwinFusion,10.jpg,7.263625180804826,4.9198340981931,0.5349960520265342,41.754077055971266,12.373911629372454,0.7460338115464965,64.32788741488424
SwinFusion,11.jpg,7.4404440225233515,5.109666217000288,0.6469587379915908,50.682779854961666,13.284398625832573,0.8037586418668758,3.0166362000162033
SwinFusion,12.jpg,7.345123972862267,5.169315867813123,0.6046429162188135,47.30636273069811,13.314172980966081,0.8065268285521786,14.032421318511389
SwinFusion,13.jpg,7.350368926344502,5.2111439937986965,0.5641071555903512,49.53929634001438,13.897620742656759,0.8048528344332286,13.566155706910548
SwinFusion,14.jpg,7.425230988205728,5.093939109885823,0.6258753403743889,49.48915412726219,13.19431319122035,0.822245418567426,8.840063427405548
SwinFusion,15.jpg,7.243495521235923,4.740404789529645,0.6149021224258795,49.91722695431421,13.067679850208851,0.832074965328904,13.888657153359905
SwinFusion,16.jpg,7.237517998425426,3.779639922392802,0.6535898974968112,47.01308123598112,10.457211392811274,0.7665771525926179,4.655934093460931
SwinFusion,17.jpg,7.145990093421835,5.389751592220971,0.644369916185981,43.22016376696399,13.672173157206919,0.8229395463059508,11.89396285154647
SwinFusion,18.jpg,7.379145720126504,4.716697620324564,0.535119350846729,43.596959386260856,11.427579762774062,0.7683974276527823,10.62453496473901
SwinFusion,19.jpg,7.163026889024471,4.309365672007855,0.6743918544257634,47.765505441326525,10.252711375769204,0.8660138417935841,1.3621311686542013
SwinFusion,20.jpg,7.004288802348675,3.3464753092202355,0.7535358610487441,37.39734423238917,8.617571624697465,0.8336851194901465,4.548140339111594
SwinFusion,Average,7.224945485758271,4.651765364311436,0.6201276060414063,46.389872799863696,12.018067847772114,0.7387163154911692,13.141212315843742
SwinFusion,StdDev,0.16580186675409384,0.7631781505870845,0.07775363973516411,5.440450598761609,1.9856800520065754,0.14296345708127353,18.384361819663024
