Method,Entropy,AG,VIF,Variance,SF,CC,QCV
DenseFuse,6.0,7.0,7.0,7.0,7.0,3.0,8.0
MGFF,8.0,8.0,2.0,8.0,8.0,1.0,9.0
PIAFusion,4.0,3.0,4.0,4.0,3.0,5.0,5.0
PSFusion,2.0,2.0,3.0,1.0,1.0,7.0,3.0
RFN-Nest,7.0,9.0,8.0,6.0,9.0,2.0,1.0
SDNet,9.0,6.0,9.0,9.0,6.0,9.0,6.0
SeAFusion,3.0,5.0,6.0,3.0,5.0,6.0,2.0
SwinFusion,5.0,4.0,5.0,5.0,4.0,8.0,7.0
our,1.0,1.0,1.0,2.0,2.0,4.0,4.0
