Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
3,1.jpg,7.447526497312518,2.674774314504879,0.7290131101780347,54.82135749123065,11.732108149875987,0.7779120583336344,1.7126433799568652
3,2.jpg,7.470162434044698,2.527433550145,0.7316229354711601,54.46891035799374,11.518837146863808,0.7366131755647067,1.198020265116527
3,3.jpg,7.199025659442867,4.357857384636723,0.6788317008641277,49.173739815330514,16.59547945007941,0.7559020539997666,2.4710308359616353
3,4.jpg,7.46813060565438,2.835510582069464,0.7444722128733176,55.53128294648905,12.028361123054461,0.7532168573875024,1.591432835163438
3,5.jpg,7.438212096017075,2.579929788954033,0.7282215098360607,54.569889291550375,11.349818613347624,0.7739713902412078,1.3042627889299243
3,6.jpg,7.160130650811048,2.022612266701922,0.8154260182950495,45.396467513789474,10.089054446310925,0.6323637788687582,4.65403421241447
3,7.jpg,7.15027038027285,2.1502860592647983,0.8281031850042891,44.20378335580429,10.574755745144595,0.6111293461543739,4.562080798034951
3,8.jpg,7.18835610273003,2.0039565709283145,0.8106564997697789,45.59077398033726,9.909072396547822,0.624179244510438,3.4722216075366363
3,9.jpg,7.156932673800027,1.976802823576234,0.8037795702063283,45.76936664289251,9.956541892601308,0.6191477288087144,4.749475210743589
3,10.jpg,7.166250874847057,2.0966553732507953,0.8126442409021712,45.72819789833353,10.150799480837843,0.6095044087697137,6.025486322248294
3,11.jpg,7.235119543661677,2.0646025087901143,0.7363159539013693,44.96714772805818,10.281194340639832,0.7032580270695505,2.3098361314716738
3,12.jpg,7.264702578058214,1.9092850273597666,0.7876318478107401,49.98237638796175,8.997348829795968,0.5472089478752066,1.0401864948035864
3,13.jpg,7.183036004647389,1.8835748291225407,0.6953900391674076,48.71356233111396,10.309693097556279,0.7217113053425814,5.982573905393443
3,14.jpg,7.347602759748372,3.9399732672716063,0.707995494836962,53.84550714623306,14.812727685223646,0.8695092623548881,5.59615888352354
3,15.jpg,7.476096032027076,3.3189564125642566,0.6870156692524089,58.56992474666823,12.540803646469927,0.8262007236890659,2.2788053831955435
3,16.jpg,7.513401370242514,2.7021089603095843,0.7365600644152054,54.144105285867994,11.489697596068547,0.758260319808655,1.7384979624541426
3,17.jpg,7.276440794653167,2.3860930073795252,0.7455226684773122,47.61869711891403,11.004695251459884,0.6539804202468169,2.9716101386553455
3,18.jpg,7.019309688099516,4.290808395189814,0.7258736986421944,46.95230283054719,16.62129373585636,0.5767960058530455,5.079116626081902
3,19.jpg,7.240045898129896,1.7416904407526577,0.7168504226820325,50.81015971749452,9.074726785048103,0.7056463173859873,1.0961813952260595
3,20.jpg,6.882676510415754,2.7321329366188394,0.7349940547213939,40.07426419246663,13.685235236609813,0.5554114920908846,18.523338097804768
3,Average,7.264171457730806,2.6097522249695433,0.7478460448653672,49.54659083895385,11.636112232469609,0.690596143217775,3.9178496637358164
3,StdDev,0.16709014121328827,0.7929326766490156,0.04562748353744981,4.856730707745215,2.2228849454717268,0.09180502953311322,3.851141850195375
