Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
our,01.png,7.61836767660076,6.421070628934602,0.5430888292190664,51.81261149425865,15.500684926353012,0.33755955790021214,0.45300813514829036
our,02.png,7.610074917314681,6.724984739178645,0.46620017277398285,52.983884824126285,17.24721600179249,0.595429380849728,0.7458536018187636
our,03.png,7.59134743157919,5.62139683942124,0.5895567033702835,54.10396261203972,14.892285138077781,0.43803059868220456,0.6209592147727891
our,04.png,7.636400620322039,6.772407745229074,0.7005235694164554,53.207128274866186,16.726094271456237,0.448512934286221,1.0026846958351416
our,05.png,7.523181470131908,8.589246074367182,0.3974450791520308,53.11856663052264,19.751628553543455,0.39982301912549073,82.18528153507414
our,06.png,7.632515147818902,8.65520466946255,0.4550981598409858,52.21968439908426,18.578469137691666,0.39908249197762735,1.24644272886981
our,07.png,7.645981383327769,5.3937496265613865,0.5242653042978317,52.26647188926883,14.960700899289249,0.6166441257989571,2.9063002703972423
our,08.png,7.4339165380572565,9.306222241606315,0.7933378826672649,52.39108977336881,20.52961119119806,0.801322488586902,247.25284870137548
our,09.png,7.675096016356057,8.035926111656535,0.6594522991879936,52.45012897445499,18.512316686477035,0.6488196250996938,0.06349446376712795
our,10.png,7.612733854014547,6.7770516091803685,0.528131042372844,53.64057354609605,17.99404512685106,0.46171080071185855,1.3984273959680875
our,11.png,7.626858200968973,7.113774418596077,0.5615184018050361,52.35646034614994,16.32588155666182,0.5772467605685281,260.9779964776953
our,12.png,7.288924904241123,4.903770294775026,0.7299535170950769,53.750390477422634,11.810859470866717,0.5616445498555478,1.2853663703831129
our,13.png,7.6692053190027565,9.334228862339891,0.5960835918915353,51.6007859760454,20.523665723768314,0.4234256627571838,1.5573302333138126
our,14.png,7.566870297288306,4.820207571572237,0.7751183061279883,51.98570410813102,14.787694728421707,0.7941114822172897,7.088070037141383
our,15.png,7.469312040011399,5.847622561895146,0.5394725588384466,53.75513893969119,15.358518453174543,0.5566650620096523,1.6232354392994226
our,16.png,7.475544932045738,6.409963994038765,0.5480916521704468,52.305313230268276,16.147629286475365,0.37493454388572256,2.2890838168226693
our,17.png,7.431923124636296,5.602344524993782,0.5339243231677362,53.1325179550892,14.899621705962137,0.529804694165896,2.3543622238120294
our,18.png,7.469857743476212,6.350402679087646,0.5307171776640941,52.809037580201114,16.43165719934122,0.45637861429737236,2.073579372693702
our,19.png,7.589101251409148,5.312740385359937,0.7150183153399584,53.7433603082098,14.753884919838475,0.2041592898556122,3.1217975741493658
our,20.png,7.498992246871531,5.250661808105655,0.6670172502661943,54.87743112879913,14.671100013776774,0.38132316823969864,3.024466728258592
our,21.png,7.6689131028008575,6.817744381317638,0.4508462751765719,52.9023566692,15.909528930118482,0.6040807541831483,0.9930587578901892
our,22.png,7.630821907232941,5.393651646884867,0.7542416332513682,52.93223044370091,14.850597374576758,0.3279006947557154,3.9705430754713538
our,23.png,7.618160629555765,5.697916870148602,0.7051441727625047,53.88491220857122,15.522654812815382,0.32238893969120547,2.510957646707072
our,24.png,7.604546208517679,5.392173720295567,0.7452100996620542,54.78363148472103,14.769269048200348,0.4091994097398428,3.9577662269989
our,25.png,7.593417104245114,5.9306504656778705,0.6730330156067096,54.107318956258766,15.76366095204324,0.3308252748655506,3.2414066384337454
our,26.png,7.529975217477039,5.211272180568007,0.6688521526220509,52.17826797124576,14.606797827099138,0.18842393973821386,4.037895849266921
our,27.png,7.581610612234936,5.540170208359387,0.702785729280469,53.168723864930215,15.162236811486714,0.3637133472690008,4.129755038945328
our,28.png,7.473588633010681,4.6665603156857065,0.8009673982691199,52.722794785706775,14.268351085410096,0.12011822794628263,1.938874942660375
our,29.png,7.5346580532689496,5.361890535699171,0.8095065207274929,53.82313514114432,15.728659639380728,0.11659106682072379,2.4412218954330336
our,30.png,7.566849396372853,6.66483400655924,0.4956167363086925,52.138652488273,16.62466032061895,0.4843454839239241,0.6157878791148116
our,31.png,7.5320326067719074,5.5643907732897935,0.7040460649194485,53.08563930187362,16.626800868632937,0.19863673671561405,1.3811692178594897
our,32.png,7.50259773137083,4.988784869882544,0.6733871928793289,52.55305536262484,14.254900469505115,0.7386382564154195,2.3109927966743657
our,33.png,7.6179687302939785,6.075646449326915,0.889116160205288,54.016978674469996,14.506347474005699,0.31685687209459706,0.3427902587973334
our,34.png,7.670409636057233,6.9277169891640655,0.6979904371464724,53.977560751663745,15.858717772589861,0.642887220943593,25.129680829033497
our,35.png,7.511163982042,6.947214114477553,0.4968604831777723,52.546259836139704,16.862000597783897,0.5502133293236287,56.28325379961679
our,36.png,7.616984360056048,6.487438812400835,0.7594619386989997,52.89483701140982,15.458640561983469,0.6654669694185189,43.44363884616575
our,37.png,7.578840876197635,8.205636995392164,1.0703586399240292,50.09064966596017,18.530091286518353,0.45901207251358234,46.361626843857586
our,38.png,7.613931340581371,5.606416346678711,0.5816358459873312,53.657938299681476,13.991226915099455,0.5024095914700466,0.3289007309211886
our,39.png,7.616213361191564,6.599043401040684,0.48516337278517485,53.125128065124294,15.850140500768466,0.44109454980395263,0.3991671573946159
our,40.png,7.516988194537809,5.668918717535622,0.4716056684663217,52.12869542745067,14.845664691804902,0.6602782361835381,0.6434556376950612
our,41.png,7.118835749872442,9.150974788028359,0.4567776092442305,51.92144254597298,22.514603655736607,0.3435384888077526,3.8045342627402947
our,42.png,7.494991218251363,6.344458447428192,0.907710792955575,48.57865071864993,17.10973139368981,0.5234038598956855,2.644395555098806
our,Average,7.5538024706527525,6.392535295766751,0.6393888589695775,52.85069290816351,16.190924951925847,0.4599202898426413,19.861463402461254
our,StdDev,0.10554205809544537,1.2585512441149103,0.1455214361314177,1.1404989629913937,2.0410169191763545,0.16760180847377903,55.76368640661313
