Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
SDNet,01.png,6.1856409018511025,4.069995191859737,0.4554833985946616,19.7916456981314,10.459012873067055,0.40700096920189854,0.06685112834621033
SDNet,02.png,6.584370749163975,5.341847298734012,0.4612223468903243,24.098011222567834,13.785705360790807,0.6193609008027683,0.13830564310014137
SDNet,03.png,6.148933819005,4.0217104366838745,0.5189770956068971,19.51482681721866,11.685652248339762,0.5177045609386446,0.10645615179032732
SDNet,04.png,5.7352059431414215,4.503349320394762,0.6158853768807726,15.93690509237315,12.309995794534094,0.50564386725158,0.24279782535786268
SDNet,05.png,6.484500007744279,8.182750077227631,0.3451542009956195,23.44700553568752,19.568884593651,0.46067282670773047,130.0188649348165
SDNet,06.png,5.99390515098948,4.641529775088505,0.32100660750881505,15.670011046734245,9.910817507498331,0.4839670195268789,0.6131027073579856
SDNet,07.png,6.490779887392347,4.130860850349073,0.5922263878476509,42.81466049246245,13.045322404748594,0.5588139905673473,1.4483134079613702
SDNet,08.png,6.094399770701117,7.05471547296277,0.7067878078885632,29.62578467468109,19.522950295365046,0.8193460689486078,74.91707088954392
SDNet,09.png,6.83025253729553,4.675374171656242,0.5700682901344217,34.36138461129072,11.108239399978334,0.5635985053409529,0.015969741106016584
SDNet,10.png,6.8050950903459375,5.233282797564502,0.5410644523991524,34.25351793928662,15.945491955238984,0.40435770705045765,0.43664077683288416
SDNet,11.png,6.428386761532069,4.1322137183640715,0.4255875301270739,34.839274719847396,9.32803777792963,0.5461316021429055,67.10069628559764
SDNet,12.png,6.0471185196296595,2.144285584111882,0.5752083984326752,18.119097654942767,5.260714048569844,0.6065973041422528,1.4192633087561761
SDNet,13.png,5.661444064385399,3.5664386766663543,0.45134990493229055,12.6659166970489,8.10143351327071,0.44362700641954905,0.9343214608725279
SDNet,14.png,6.869231575131181,3.2557409017341397,0.7565988888383207,34.568057359438754,8.414010667481168,0.7811862412460855,2.3998743090925685
SDNet,15.png,6.246307024861761,3.1751194150772464,0.4657353428237449,23.08461717170358,7.697219613662253,0.5808397720419285,0.37292453876968734
SDNet,16.png,5.9568316437302595,4.090023067664472,0.4468956801524976,18.731454632191127,10.350096824876474,0.46761676514166794,0.47946063608537914
SDNet,17.png,6.377334196316656,3.195769000546204,0.4691726586509601,26.056416115099854,7.595267028044389,0.5557652222675512,0.4607522589169348
SDNet,18.png,6.007857855980977,3.7603991216820565,0.440788651141369,21.06225068158033,9.439481519064316,0.5206624484812261,0.2755695477228148
SDNet,19.png,6.912528830613434,2.331656145010506,0.5863559228483335,41.83890748104338,5.7205199600139505,0.16439755924587762,0.7415324013297657
SDNet,20.png,6.654723774634949,2.768848361572807,0.6319396652682332,31.19906759126718,6.450491452314711,0.3604090174780864,0.3658634101119747
SDNet,21.png,6.414968615779152,4.8597425599508455,0.3163198340018576,23.645262726149372,11.819248189376133,0.611231721432911,0.17392269881606517
SDNet,22.png,6.959866005521864,2.5500613567312675,0.686731742369863,40.982347677024805,6.1506800620612845,0.24888964400808763,0.535212890384087
SDNet,23.png,6.94024044977674,2.4620336082782135,0.5846359806444154,33.38295856679739,6.091340953067412,0.2337328763601364,0.9325867047259163
SDNet,24.png,6.642432526661715,2.5850947205777906,0.6632185159863745,30.134885519660834,6.171010187396291,0.3663804153780764,0.4408245273961655
SDNet,25.png,6.9402442819831975,3.193748915742552,0.6479942435254032,33.80378639203821,7.487932732964776,0.27259493046477223,0.3633890130134557
SDNet,26.png,6.92714765501398,2.673844833691468,0.6543832803013896,40.267318770996845,6.189175055394496,0.17264166199327036,0.6018842645987509
SDNet,27.png,6.675982225400196,2.7301210887844953,0.6714146703990473,33.32868898340284,6.357020757672536,0.3068860190650661,0.45186386098812487
SDNet,28.png,5.878393863215238,2.01383638543758,0.5047602648988144,19.763714560808,4.761148256304749,0.16383471534082383,0.2644515155803543
SDNet,29.png,5.9818303129152355,2.1867958344036937,0.47086037804575054,22.782025897897817,5.522421536116053,0.10384204209762282,0.7155129699102549
SDNet,30.png,6.701592658486059,4.135039981402442,0.4773853563481759,31.854732976231826,10.612632553074587,0.4544094706530146,0.15090080395453304
SDNet,31.png,5.659397644358646,2.7009875308042006,0.47532457742155343,13.486024253025679,6.410650240901372,0.2369423751042701,0.5579409262209605
SDNet,32.png,7.015496727101279,3.597390480226663,0.6640310342252038,58.90711874044453,11.710892765557283,0.6802069306287055,0.29225111219767663
SDNet,33.png,6.854613826769745,2.0028485685871447,0.6623214960853969,32.33479431511208,4.959689002807733,0.21687353705610612,0.025018624068648895
SDNet,34.png,5.666169317008594,2.879438948623521,0.4942088825401221,12.569883856472254,6.285873825957839,0.6348850301674267,62.13780727078808
SDNet,35.png,6.305133373153321,3.9439963704311842,0.39579511545235135,21.353707855956326,9.598118930392769,0.5999896468012824,29.47780012723533
SDNet,36.png,5.672780919034881,2.866294556936704,0.4599043675395368,13.154998050771088,6.69362758049566,0.6786198518740566,26.58738894273343
SDNet,37.png,4.884071582537481,1.8621521414425832,0.5911630539704954,13.145561852437519,4.411838118690672,0.375056383102117,234.00649833316842
SDNet,38.png,6.28286915837322,3.411814622102922,0.45630010294921086,26.260273598866043,9.663891173222751,0.47289048875199496,0.07232850335952987
SDNet,39.png,6.623259186629991,4.978510441683156,0.4256615376812487,24.570912009776148,12.195800741307533,0.4650481790716171,0.08343740527634565
SDNet,40.png,6.659078399523887,4.266899260397156,0.4560445983165483,26.827376762772538,11.024140737974173,0.6912457624001977,0.0747695519827874
