Method,Image,Entropy,AG,VIF,Variance,SF,CC,QCV
PSFusion,01.png,7.525510323063744,6.980621009783025,0.7011785511290858,53.160299597416426,17.387918042298715,0.35929197983835204,0.5504395688130327
PSFusion,02.png,7.641113020446051,8.760145579892432,0.6554645644474063,54.145464654851864,22.816114722374156,0.5681044215342105,0.875792985202278
PSFusion,03.png,7.664020773823313,7.377864552905983,0.7697713243466181,56.06252190992036,20.396337705535892,0.45112689644548637,0.4984240309558297
PSFusion,04.png,7.558063498187197,8.151514056088663,0.9346391360290263,50.56255175342807,21.499734410067788,0.4610342186866039,1.162423972393448
PSFusion,05.png,7.4531032103845245,9.871825181454236,0.743417555271287,58.48102506762869,23.49226866754204,0.4083328227589043,41.159336123831054
PSFusion,06.png,7.155300114286744,7.203624602140536,0.5652283326051368,40.014347971350574,15.464672779981905,0.43892054630210614,0.586986357896879
PSFusion,07.png,7.516114056777808,6.2751817209988445,0.698772325237389,52.671944770186975,18.166487877418447,0.6266859104972804,1.2277537978650046
PSFusion,08.png,6.9006783112081065,8.790924264831785,1.0602277494955372,46.10479449983041,22.29117314370307,0.869606120514627,52.28749732196071
PSFusion,09.png,7.508085202937814,9.140080608977845,0.6483199067328431,48.08405156683639,22.687748567375163,0.6122361001201501,0.08951520158506324
PSFusion,10.png,7.486875313258029,8.956246970797787,0.5346657965181655,47.19070264071004,28.215592774195176,0.48831685493129956,0.7352546859554496
PSFusion,11.png,7.338105033704239,5.554202457090628,0.6074175064604557,51.50236559383037,12.87599587765039,0.6370674595728237,166.673236868839
PSFusion,12.png,6.755541460890989,3.1000218199149265,0.912817902523128,59.73154513600207,8.121209077871544,0.5066931514761658,0.3995492204091374
PSFusion,13.png,6.658822291008862,6.108036376351866,0.6694519677817212,25.01013356194932,14.356276234421722,0.4741874479575724,0.8020585115827881
PSFusion,14.png,7.737059517244699,5.138237349538305,0.9438794575732702,59.796465199217145,12.754979367786875,0.812910573873586,7.1402133299425525
PSFusion,15.png,7.2675830402183275,4.36378454906233,0.7107200255134973,49.86559744785035,10.661119853034553,0.6145044520284699,0.421916713158775
PSFusion,16.png,7.143968531204191,5.716378681313373,0.7634224706098125,49.908802639608076,14.524471320122974,0.4075878937868303,0.789422211574935
PSFusion,17.png,7.385930708855154,4.876438496527104,0.7101806781932476,53.89508487874499,11.739303747869476,0.6042799180615352,0.6544305779769225
PSFusion,18.png,7.228790262733918,5.891474879356411,0.7896567791282638,57.19960291257629,15.237496252831184,0.5094290077924232,0.6625502604889737
PSFusion,19.png,7.547911101930287,4.271442164206218,0.7357136579899685,54.39456211133812,10.763380144513643,0.28781325114911394,0.7854825319895336
PSFusion,20.png,7.468361261783852,4.44551950274463,0.7226222523550228,59.39865936325393,11.210688654424914,0.4399564018288459,0.8210023747067061
PSFusion,21.png,7.726985613119429,9.358831900526624,0.7066329945344028,57.6052635058638,22.341460994200542,0.5885313804379382,0.6849512133803382
PSFusion,22.png,7.580725485289069,4.399288434143941,0.8617172055140391,49.7500719299699,10.730261329176912,0.36703518390973466,0.42598355668586807
PSFusion,23.png,7.447081952968763,4.1242150664192145,0.7318082320443154,44.22915210259106,10.626243720980133,0.3551287307325231,1.022665122704053
PSFusion,24.png,7.500377950881191,4.096904111409921,0.8592235177048735,49.7821886051251,10.217335991121175,0.4701526371070428,0.7927568445480098
PSFusion,25.png,7.534429564676247,5.182076705752466,0.78979358714405,48.556471748215436,12.772015016413361,0.40427170306575944,0.3859931279361005
PSFusion,26.png,7.539134991818218,4.714264859986794,0.8249749542135278,49.47890913817246,11.201113805333152,0.2958919131186982,0.6972314932756133
PSFusion,27.png,7.418687687191667,4.528804622313269,0.8130315933088252,42.413429043566566,10.78137273857571,0.4205440711613553,0.47996360041722397
PSFusion,28.png,6.493315203958256,3.2857728426030435,0.7944980706337486,31.232215324218302,7.807420302401561,0.2692634104920322,0.4083251861087204
PSFusion,29.png,6.4724817681116384,3.8885057942765697,0.5655835966766215,24.996987299351925,9.984582376023273,0.22067775954794114,1.1115650745581154
PSFusion,30.png,7.543116540693507,7.553400461438841,0.5150232447645732,50.782400519779976,19.904999262864944,0.5307877844380097,0.5216445739389881
PSFusion,31.png,6.722732034935322,4.068456537824138,0.6010881097854319,31.044960507503674,10.442256052248458,0.2764935283773659,0.6650735812552535
PSFusion,32.png,7.396676823857723,4.962395163844794,0.7974340004267015,76.56131838194062,16.166614365007934,0.7369003918771322,0.5883261422110512
